Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/190 [00:00<?, ?it/s]
Loading weights:  27%|██▋       | 52/190 [00:00<00:00, 518.34it/s]
Loading weights: 100%|██████████| 190/190 [00:00<00:00, 1833.79it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/559 [00:00<?, ?it/s]
Loading weights:   7%|▋         | 41/559 [00:00<00:01, 394.11it/s]
Loading weights:  15%|█▍        | 82/559 [00:00<00:01, 391.21it/s]
Loading weights:  22%|██▏       | 124/559 [00:00<00:01, 399.89it/s]
Loading weights:  30%|██▉       | 166/559 [00:00<00:00, 396.49it/s]
Loading weights:  37%|███▋      | 206/559 [00:00<00:00, 396.66it/s]
Loading weights:  44%|████▍     | 247/559 [00:00<00:00, 389.57it/s]
Loading weights:  52%|█████▏    | 288/559 [00:00<00:00, 392.22it/s]
Loading weights:  59%|█████▊    | 328/559 [00:00<00:00, 386.87it/s]
Loading weights:  66%|██████▌   | 367/559 [00:00<00:00, 355.88it/s]
Loading weights:  72%|███████▏  | 404/559 [00:01<00:00, 343.15it/s]
Loading weights:  79%|███████▊  | 439/559 [00:01<00:00, 333.37it/s]
Loading weights:  85%|████████▍ | 473/559 [00:01<00:00, 328.61it/s]
Loading weights:  91%|█████████ | 508/559 [00:01<00:00, 324.17it/s]
Loading weights:  97%|█████████▋| 541/559 [00:01<00:00, 323.57it/s]
Loading weights: 100%|██████████| 559/559 [00:01<00:00, 349.53it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.
[GKD setup]
student         : google/flan-t5-small
teacher         : google/flan-t5-xxl
device          : cuda
divergence      : jsd
beta            : 0.50
lambda          : 0.50
updates         : 1000
micro batch     : 1
grad accum      : 16
effective batch : 16
save dir        : /home/ubuntu/t5_gsm8k/t5_small_gsm8k_gkd_true_laptop
train:   0%|          | 0/1000 [00:00<?, ?it/s]
train:   0%|          | 0/1000 [00:05<?, ?it/s, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
train:  29%|██▉       | 289/1000 [25:08<57:49,  4.88s/it, loss=0.1742, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  29%|██▉       | 289/1000 [25:13<57:49,  4.88s/it, loss=0.1750, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  29%|██▉       | 290/1000 [25:13<57:40,  4.87s/it, loss=0.1750, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  29%|██▉       | 290/1000 [25:17<57:40,  4.87s/it, loss=0.1760, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  29%|██▉       | 291/1000 [25:17<56:57,  4.82s/it, loss=0.1760, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  29%|██▉       | 291/1000 [25:22<56:57,  4.82s/it, loss=0.1747, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  29%|██▉       | 292/1000 [25:22<56:54,  4.82s/it, loss=0.1747, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  29%|██▉       | 292/1000 [25:26<56:54,  4.82s/it, loss=0.1638, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  29%|██▉       | 293/1000 [25:26<56:51,  4.82s/it, loss=0.1638, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  29%|██▉       | 293/1000 [25:29<56:51,  4.82s/it, loss=0.1917, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  29%|██▉       | 294/1000 [25:29<55:36,  4.73s/it, loss=0.1917, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  29%|██▉       | 294/1000 [25:33<55:36,  4.73s/it, loss=0.1710, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  30%|██▉       | 295/1000 [25:33<54:55,  4.67s/it, loss=0.1710, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  30%|██▉       | 295/1000 [25:37<54:55,  4.67s/it, loss=0.1645, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  30%|██▉       | 296/1000 [25:37<54:35,  4.65s/it, loss=0.1645, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  30%|██▉       | 296/1000 [25:45<54:35,  4.65s/it, loss=0.1567, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  30%|██▉       | 297/1000 [25:45<56:28,  4.82s/it, loss=0.1567, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  30%|██▉       | 297/1000 [25:49<56:28,  4.82s/it, loss=0.1647, lr=3.00e-04, sup=7, onp=9, gpu=22.48G] 
train:  30%|██▉       | 298/1000 [25:49<56:03,  4.79s/it, loss=0.1647, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  30%|██▉       | 298/1000 [25:53<56:03,  4.79s/it, loss=0.1714, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  30%|██▉       | 299/1000 [25:53<55:19,  4.74s/it, loss=0.1714, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  30%|██▉       | 299/1000 [25:57<55:19,  4.74s/it, loss=0.1835, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  30%|███       | 300/1000 [25:57<54:49,  4.70s/it, loss=0.1835, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
                                                                                                             

train:  30%|███       | 300/1000 [25:57<54:49,  4.70s/it, loss=0.1835, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  30%|███       | 300/1000 [26:03<54:49,  4.70s/it, loss=0.1553, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  30%|███       | 301/1000 [26:03<55:21,  4.75s/it, loss=0.1553, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  30%|███       | 301/1000 [26:09<55:21,  4.75s/it, loss=0.1632, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  30%|███       | 302/1000 [26:09<55:48,  4.80s/it, loss=0.1632, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  30%|███       | 302/1000 [26:12<55:48,  4.80s/it, loss=0.1685, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
train:  30%|███       | 303/1000 [26:12<54:44,  4.71s/it, loss=0.1685, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
train:  30%|███       | 303/1000 [26:16<54:44,  4.71s/it, loss=0.1764, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  30%|███       | 304/1000 [26:16<54:13,  4.67s/it, loss=0.1764, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  30%|███       | 304/1000 [26:21<54:13,  4.67s/it, loss=0.1570, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  30%|███       | 305/1000 [26:21<54:45,  4.73s/it, loss=0.1570, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  30%|███       | 305/1000 [26:26<54:45,  4.73s/it, loss=0.1614, lr=3.00e-04, sup=7, onp=9, gpu=22.48G] 
train:  31%|███       | 306/1000 [26:26<54:54,  4.75s/it, loss=0.1614, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  31%|███       | 306/1000 [26:31<54:54,  4.75s/it, loss=0.1713, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  31%|███       | 307/1000 [26:31<54:28,  4.72s/it, loss=0.1713, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  31%|███       | 307/1000 [26:36<54:28,  4.72s/it, loss=0.1626, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  31%|███       | 308/1000 [26:36<54:36,  4.74s/it, loss=0.1626, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  31%|███       | 308/1000 [26:40<54:36,  4.74s/it, loss=0.1725, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  31%|███       | 309/1000 [26:40<54:19,  4.72s/it, loss=0.1725, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  31%|███       | 309/1000 [26:42<54:19,  4.72s/it, loss=0.1638, lr=3.00e-04, sup=14, onp=2, gpu=22.48G]
train:  31%|███       | 310/1000 [26:42<52:57,  4.61s/it, loss=0.1638, lr=3.00e-04, sup=14, onp=2, gpu=22.48G]
train:  31%|███       | 310/1000 [26:46<52:57,  4.61s/it, loss=0.1681, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  31%|███       | 311/1000 [26:46<52:16,  4.55s/it, loss=0.1681, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  31%|███       | 311/1000 [26:51<52:16,  4.55s/it, loss=0.1506, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  31%|███       | 312/1000 [26:51<52:16,  4.56s/it, loss=0.1506, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  31%|███       | 312/1000 [26:55<52:16,  4.56s/it, loss=0.1688, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  31%|███▏      | 313/1000 [26:55<52:07,  4.55s/it, loss=0.1688, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  31%|███▏      | 313/1000 [27:01<52:07,  4.55s/it, loss=0.1606, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  31%|███▏      | 314/1000 [27:01<52:33,  4.60s/it, loss=0.1606, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  31%|███▏      | 314/1000 [27:05<52:33,  4.60s/it, loss=0.1672, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  32%|███▏      | 315/1000 [27:05<52:29,  4.60s/it, loss=0.1672, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  32%|███▏      | 315/1000 [27:09<52:29,  4.60s/it, loss=0.1825, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  32%|███▏      | 316/1000 [27:09<51:53,  4.55s/it, loss=0.1825, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  32%|███▏      | 316/1000 [27:14<51:53,  4.55s/it, loss=0.1616, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  32%|███▏      | 317/1000 [27:14<51:52,  4.56s/it, loss=0.1616, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  32%|███▏      | 317/1000 [27:19<51:52,  4.56s/it, loss=0.1874, lr=3.00e-04, sup=3, onp=13, gpu=22.48G]
train:  32%|███▏      | 318/1000 [27:19<52:29,  4.62s/it, loss=0.1874, lr=3.00e-04, sup=3, onp=13, gpu=22.48G]
train:  32%|███▏      | 318/1000 [27:23<52:29,  4.62s/it, loss=0.1733, lr=3.00e-04, sup=7, onp=9, gpu=22.48G] 
train:  32%|███▏      | 319/1000 [27:23<52:05,  4.59s/it, loss=0.1733, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  32%|███▏      | 319/1000 [27:27<52:05,  4.59s/it, loss=0.2035, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  32%|███▏      | 320/1000 [27:27<51:41,  4.56s/it, loss=0.2035, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  32%|███▏      | 320/1000 [27:33<51:41,  4.56s/it, loss=0.1617, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  32%|███▏      | 321/1000 [27:33<52:20,  4.62s/it, loss=0.1617, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  32%|███▏      | 321/1000 [27:38<52:20,  4.62s/it, loss=0.1598, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  32%|███▏      | 322/1000 [27:38<52:06,  4.61s/it, loss=0.1598, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  32%|███▏      | 322/1000 [27:41<52:06,  4.61s/it, loss=0.1791, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  32%|███▏      | 323/1000 [27:41<51:30,  4.57s/it, loss=0.1791, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  32%|███▏      | 323/1000 [27:46<51:30,  4.57s/it, loss=0.1635, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  32%|███▏      | 324/1000 [27:46<51:38,  4.58s/it, loss=0.1635, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  32%|███▏      | 324/1000 [27:52<51:38,  4.58s/it, loss=0.1707, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  32%|███▎      | 325/1000 [27:52<52:29,  4.67s/it, loss=0.1707, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
                                                                                                             

train:  32%|███▎      | 325/1000 [27:52<52:29,  4.67s/it, loss=0.1707, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  32%|███▎      | 325/1000 [27:57<52:29,  4.67s/it, loss=0.1940, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  33%|███▎      | 326/1000 [27:57<52:31,  4.68s/it, loss=0.1940, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  33%|███▎      | 326/1000 [28:03<52:31,  4.68s/it, loss=0.1810, lr=3.00e-04, sup=7, onp=9, gpu=22.48G] 
train:  33%|███▎      | 327/1000 [28:03<53:17,  4.75s/it, loss=0.1810, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  33%|███▎      | 327/1000 [28:09<53:17,  4.75s/it, loss=0.1722, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  33%|███▎      | 328/1000 [28:09<53:34,  4.78s/it, loss=0.1722, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  33%|███▎      | 328/1000 [28:13<53:34,  4.78s/it, loss=0.1756, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  33%|███▎      | 329/1000 [28:13<53:01,  4.74s/it, loss=0.1756, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  33%|███▎      | 329/1000 [28:18<53:01,  4.74s/it, loss=0.1665, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  33%|███▎      | 330/1000 [28:18<52:58,  4.74s/it, loss=0.1665, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  33%|███▎      | 330/1000 [28:22<52:58,  4.74s/it, loss=0.1670, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  33%|███▎      | 331/1000 [28:22<52:46,  4.73s/it, loss=0.1670, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  33%|███▎      | 331/1000 [28:28<52:46,  4.73s/it, loss=0.1628, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  33%|███▎      | 332/1000 [28:28<53:16,  4.79s/it, loss=0.1628, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  33%|███▎      | 332/1000 [28:32<53:16,  4.79s/it, loss=0.1692, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  33%|███▎      | 333/1000 [28:32<52:54,  4.76s/it, loss=0.1692, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  33%|███▎      | 333/1000 [28:37<52:54,  4.76s/it, loss=0.1770, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  33%|███▎      | 334/1000 [28:37<52:53,  4.76s/it, loss=0.1770, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  33%|███▎      | 334/1000 [28:41<52:53,  4.76s/it, loss=0.1595, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  34%|███▎      | 335/1000 [28:41<52:35,  4.74s/it, loss=0.1595, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  34%|███▎      | 335/1000 [28:47<52:35,  4.74s/it, loss=0.1699, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  34%|███▎      | 336/1000 [28:47<52:43,  4.76s/it, loss=0.1699, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  34%|███▎      | 336/1000 [28:51<52:43,  4.76s/it, loss=0.1607, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  34%|███▎      | 337/1000 [28:51<52:43,  4.77s/it, loss=0.1607, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  34%|███▎      | 337/1000 [28:55<52:43,  4.77s/it, loss=0.1763, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  34%|███▍      | 338/1000 [28:55<52:03,  4.72s/it, loss=0.1763, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  34%|███▍      | 338/1000 [28:59<52:03,  4.72s/it, loss=0.1530, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  34%|███▍      | 339/1000 [28:59<51:25,  4.67s/it, loss=0.1530, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  34%|███▍      | 339/1000 [29:05<51:25,  4.67s/it, loss=0.1520, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  34%|███▍      | 340/1000 [29:05<52:11,  4.74s/it, loss=0.1520, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  34%|███▍      | 340/1000 [29:10<52:11,  4.74s/it, loss=0.1623, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  34%|███▍      | 341/1000 [29:10<52:07,  4.75s/it, loss=0.1623, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  34%|███▍      | 341/1000 [29:14<52:07,  4.75s/it, loss=0.1700, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  34%|███▍      | 342/1000 [29:14<51:30,  4.70s/it, loss=0.1700, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  34%|███▍      | 342/1000 [29:20<51:30,  4.70s/it, loss=0.1541, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  34%|███▍      | 343/1000 [29:20<52:16,  4.77s/it, loss=0.1541, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  34%|███▍      | 343/1000 [29:25<52:16,  4.77s/it, loss=0.1634, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  34%|███▍      | 344/1000 [29:25<52:29,  4.80s/it, loss=0.1634, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  34%|███▍      | 344/1000 [29:29<52:29,  4.80s/it, loss=0.1830, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  34%|███▍      | 345/1000 [29:29<51:51,  4.75s/it, loss=0.1830, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  34%|███▍      | 345/1000 [29:33<51:51,  4.75s/it, loss=0.1654, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  35%|███▍      | 346/1000 [29:33<51:17,  4.70s/it, loss=0.1654, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  35%|███▍      | 346/1000 [29:39<51:17,  4.70s/it, loss=0.1678, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  35%|███▍      | 347/1000 [29:39<51:47,  4.76s/it, loss=0.1678, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  35%|███▍      | 347/1000 [29:46<51:47,  4.76s/it, loss=0.1541, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  35%|███▍      | 348/1000 [29:46<52:57,  4.87s/it, loss=0.1541, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  35%|███▍      | 348/1000 [29:52<52:57,  4.87s/it, loss=0.1584, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  35%|███▍      | 349/1000 [29:52<53:34,  4.94s/it, loss=0.1584, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  35%|███▍      | 349/1000 [29:57<53:34,  4.94s/it, loss=0.1532, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  35%|███▌      | 350/1000 [29:57<53:26,  4.93s/it, loss=0.1532, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
                                                                                                              

train:  35%|███▌      | 350/1000 [29:57<53:26,  4.93s/it, loss=0.1532, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  35%|███▌      | 350/1000 [30:01<53:26,  4.93s/it, loss=0.1575, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  35%|███▌      | 351/1000 [30:01<52:58,  4.90s/it, loss=0.1575, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  35%|███▌      | 351/1000 [30:06<52:58,  4.90s/it, loss=0.1708, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  35%|███▌      | 352/1000 [30:06<53:16,  4.93s/it, loss=0.1708, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  35%|███▌      | 352/1000 [30:10<53:16,  4.93s/it, loss=0.1590, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  35%|███▌      | 353/1000 [30:10<52:40,  4.89s/it, loss=0.1590, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  35%|███▌      | 353/1000 [30:15<52:40,  4.89s/it, loss=0.1608, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  35%|███▌      | 354/1000 [30:15<52:17,  4.86s/it, loss=0.1608, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  35%|███▌      | 354/1000 [30:20<52:17,  4.86s/it, loss=0.1757, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  36%|███▌      | 355/1000 [30:20<52:34,  4.89s/it, loss=0.1757, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  36%|███▌      | 355/1000 [30:27<52:34,  4.89s/it, loss=0.1579, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  36%|███▌      | 356/1000 [30:27<53:11,  4.96s/it, loss=0.1579, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  36%|███▌      | 356/1000 [30:31<53:11,  4.96s/it, loss=0.1652, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  36%|███▌      | 357/1000 [30:31<53:07,  4.96s/it, loss=0.1652, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  36%|███▌      | 357/1000 [30:38<53:07,  4.96s/it, loss=0.1812, lr=3.00e-04, sup=3, onp=13, gpu=22.48G]
train:  36%|███▌      | 358/1000 [30:38<53:45,  5.02s/it, loss=0.1812, lr=3.00e-04, sup=3, onp=13, gpu=22.48G]
train:  36%|███▌      | 358/1000 [30:43<53:45,  5.02s/it, loss=0.1624, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  36%|███▌      | 359/1000 [30:43<53:48,  5.04s/it, loss=0.1624, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  36%|███▌      | 359/1000 [30:47<53:48,  5.04s/it, loss=0.1653, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  36%|███▌      | 360/1000 [30:47<53:18,  5.00s/it, loss=0.1653, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  36%|███▌      | 360/1000 [30:52<53:18,  5.00s/it, loss=0.1701, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  36%|███▌      | 361/1000 [30:52<53:00,  4.98s/it, loss=0.1701, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  36%|███▌      | 361/1000 [30:57<53:00,  4.98s/it, loss=0.1719, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  36%|███▌      | 362/1000 [30:57<53:02,  4.99s/it, loss=0.1719, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  36%|███▌      | 362/1000 [31:02<53:02,  4.99s/it, loss=0.1674, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  36%|███▋      | 363/1000 [31:02<52:53,  4.98s/it, loss=0.1674, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  36%|███▋      | 363/1000 [31:07<52:53,  4.98s/it, loss=0.1555, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  36%|███▋      | 364/1000 [31:07<52:38,  4.97s/it, loss=0.1555, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  36%|███▋      | 364/1000 [31:10<52:38,  4.97s/it, loss=0.1864, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
train:  36%|███▋      | 365/1000 [31:10<51:38,  4.88s/it, loss=0.1864, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
train:  36%|███▋      | 365/1000 [31:14<51:38,  4.88s/it, loss=0.1718, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  37%|███▋      | 366/1000 [31:14<51:18,  4.86s/it, loss=0.1718, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  37%|███▋      | 366/1000 [31:18<51:18,  4.86s/it, loss=0.1694, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  37%|███▋      | 367/1000 [31:18<50:42,  4.81s/it, loss=0.1694, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  37%|███▋      | 367/1000 [31:24<50:42,  4.81s/it, loss=0.1510, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  37%|███▋      | 368/1000 [31:24<51:16,  4.87s/it, loss=0.1510, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  37%|███▋      | 368/1000 [31:28<51:16,  4.87s/it, loss=0.1748, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  37%|███▋      | 369/1000 [31:28<50:53,  4.84s/it, loss=0.1748, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  37%|███▋      | 369/1000 [31:32<50:53,  4.84s/it, loss=0.1722, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  37%|███▋      | 370/1000 [31:32<50:16,  4.79s/it, loss=0.1722, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  37%|███▋      | 370/1000 [31:36<50:16,  4.79s/it, loss=0.1668, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  37%|███▋      | 371/1000 [31:36<49:28,  4.72s/it, loss=0.1668, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  37%|███▋      | 371/1000 [31:42<49:28,  4.72s/it, loss=0.1641, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  37%|███▋      | 372/1000 [31:42<50:08,  4.79s/it, loss=0.1641, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  37%|███▋      | 372/1000 [31:45<50:08,  4.79s/it, loss=0.1547, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  37%|███▋      | 373/1000 [31:45<49:12,  4.71s/it, loss=0.1547, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  37%|███▋      | 373/1000 [31:49<49:12,  4.71s/it, loss=0.1908, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  37%|███▋      | 374/1000 [31:49<48:58,  4.69s/it, loss=0.1908, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  37%|███▋      | 374/1000 [31:53<48:58,  4.69s/it, loss=0.1716, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
train:  38%|███▊      | 375/1000 [31:53<48:09,  4.62s/it, loss=0.1716, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
                                                                                                              

train:  38%|███▊      | 375/1000 [31:53<48:09,  4.62s/it, loss=0.1716, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
